Date Time,TimeToPass,Car#,TotalDailyCars,Temp
2024-11-24 09:44:25, 2138, 1 , 1, 50
2024-11-24 09:45:44, 77, 1 , 2, 49
2024-11-24 10:14:12, 1527, 1 , 3, 51
2024-11-24 10:17:02, 54792, 1 , 4, 51
2024-11-24 10:47:58, 711, 1 , 5, 50
2024-11-24 10:52:17, 1296, 1 , 6, 51
2024-11-24 10:52:28, 649, 1 , 7, 51
2024-11-24 11:11:24, 41453, 1 , 23, 52
2024-11-24 11:59:16, 416, 1 , 26, 53
2024-11-24 12:05:28, 31075, 1 , 27, 53
2024-11-24 12:46:56, 1409, 1 , 29, 56
2024-11-24 12:50:54, 2489, 1 , 30, 56
2024-11-24 12:54:53, 33083, 1 , 31, 56
2024-11-24 12:56:01, 27691, 1 , 32, 55
2024-11-24 13:00:04, 1450, 1 , 33, 56
2024-11-24 13:01:25, 1104, 1 , 34, 56
2024-11-24 13:14:12, 3400, 1 , 35, 57
2024-11-24 13:19:58, 1361, 1 , 36, 57
2024-11-24 13:47:45, 1607, 1 , 37, 58
2024-11-24 14:01:48, 752, 1 , 9, 57
2024-11-25 07:46:55, 1181, 1 , 1, 51
2024-11-25 08:24:32, 990, 1 , 2, 51
2024-11-25 09:06:50, 1693, 1 , 3, 52
2024-11-25 09:06:52, 3423, 1 , 4, 52
2024-11-25 09:52:52, 1131, 1 , 5, 52
2024-11-25 10:00:54, 1446, 1 , 6, 52
2024-11-25 10:21:03, 1302, 1 , 7, 52
2024-11-25 10:25:08, 1247, 1 , 8, 52
